CATINIC;CATFIM;DESCRICAO;DESCRABREV;
R50;R69;Sintomas e sinais gerais;Sintomas e sinais gerais;
R70;R79;Achados anormais de exames de sangue, sem diagnóstico;Achados anormais exames de sangue, sem diagnóstico;
R80;R82;Achados anormais de exames de urina, sem diagnóstico;Achados anormais exames de urina, sem diagnóstico;
R83;R89;Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico;Achad anorm exam e out líq, subs e tec corp s/diag;
R90;R94;Achados anormais de exames para diagnóstico por imagem e em estudos de função, sem diagnóstico;Achad anorm exam diag imagem estud função, s/diag;
R95;R99;Causas mal definidas e desconhecidas de mortalidade;Causas mal definidas e desconhecidas mortalidade;
S00;S09;Traumatismos da cabeça;Traumatismos da cabeça;
S10;S19;Traumatismos do pescoço;Traumatismos do pescoço;
S20;S29;Traumatismos do tórax;Traumatismos do tórax;
S30;S39;Traumatismos do abdome, do dorso, da coluna lombar e da pelve;Traumatismos abdome, dorso, coluna lombar e pelve;
S40;S49;Traumatismos do ombro e do braço;Traumatismos do ombro e do braço;
S50;S59;Traumatismos do cotovelo e do antebraço;Traumatismos do cotovelo e do antebraço;
S60;S69;Traumatismos do punho e da mão;Traumatismos do punho e da mão;
S70;S79;Traumatismos do quadril e da coxa;Traumatismos do quadril e da coxa;
S80;S89;Traumatismos do joelho e da perna;Traumatismos do joelho e da perna;
S90;S99;Traumatismos do tornozelo e do pé;Traumatismos do tornozelo e do pé;
T00;T07;Traumatismos envolvendo múltiplas regiões do corpo;Traumatismos envolvendo múltiplas regiões do corpo;
T08;T14;Traumatismos de localização não especificada do tronco, membro ou outra região do corpo;Traum local não espec tronco membro outr reg corpo;
T15;T19;Efeito da penetração de corpo estranho através de orifício natural;Efeito penetr corpo estranho através orif natural;
T20;T32;Queimaduras e corrosões;Queimaduras e corrosões;
T20;T25;Queimaduras e corrosões da superfície externa do corpo, especificadas por local;Queimad e corros superf ext corpo, espec p/local;
T26;T28;Queimaduras e corrosões limitadas ao olho e aos órgãos internos;Queimad e corrosões limit olho e órgãos internos;
T29;T32;Queimaduras e corrosões de múltiplas regiões e de regiões não especificadas do corpo;Queimad e corrosões múlt reg e reg não espec corpo;
T33;T35;Geladuras [frostbite];Geladuras [frostbite];
T36;T50;Intoxicação por drogas, medicamentos e substâncias biológicas;Intox por drogas, medicamentos e subst biológicas;
